GDEKT,GDENR,GDENAME,Version,Link_Dok_RIS,Link_Dok_Present,downloadedPdfDocumentValid,MunicipalityExists,LinkValid,MetaDataDateEqual,MetaDataOriginal,MetaDataDownloadedFile,HashEqual,CrawledLink,CrawledLinkSameAsRISLink,Unnamed: 15,Unnamed: 16,Unnamed: 17
,True,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,True,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,,,True,True,True,True,False,,,False,,False,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,False,False,True,False,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,False,False,True,False,False,,,False,,True,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,False,False,True,False,False,,,False,,True,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,,,,True,False,True,True,False,,,False,,False
,,,,,False,False,True,False,False,,,False,,True,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,False,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,False,False,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,False,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,False,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
,,,,,True,True,True,True,False,,,False,,False,,,
